ibge7,ibge6,nome,uf,slug,n_ubs
1500305,150030,Afuá,PA,afua,32
2600302,260030,Agrestina,PE,agrestina,19
2200103,220010,Agricolândia,PI,agricolandia,8
4200200,420020,Agrolândia,SC,agrolandia,6
4200309,420030,Agronômica,SC,agronomica,2
1500347,150034,Água Azul do Norte,PA,agua_azul_do_norte,11
3100609,310060,Água Boa,MG,agua_boa,4
5100201,510020,Água Boa,MT,agua_boa,17
2700102,270010,Água Branca,AL,agua_branca,15
2200202,220020,Água Branca,PI,agua_branca,8
2500106,250010,Água Branca,PB,agua_branca,5
5000203,500020,Água Clara,MS,agua_clara,5
3100708,310070,Água Comprida,MG,agua_comprida,2
4200408,420040,Água Doce,SC,agua_doce,5
2100154,210015,Água Doce do Maranhão,MA,agua_doce_do_maranhao,7
3200169,320016,Água Doce do Norte,ES,agua_doce_do_norte,11
2900405,290040,Água Fria,BA,agua_fria,10
5200175,520017,Água Fria de Goiás,GO,agua_fria_de_goias,3
5200209,520020,Água Limpa,GO,agua_limpa,2
2400406,240040,Água Nova,RN,agua_nova,3
2600401,260040,Água Preta,PE,agua_preta,18
4300059,430005,Água Santa,RS,agua_santa,2
3500303,350030,Aguaí,SP,aguai,7
3100807,310080,Aguanil,MG,aguanil,5
2600500,260050,Águas Belas,PE,aguas_belas,25
3500402,350040,Águas da Prata,SP,aguas_da_prata,3
4200507,420050,Águas de Chapecó,SC,aguas_de_chapeco,3
3500501,350050,Águas de Lindóia,SP,aguas_de_lindoia,7
3500550,350055,Águas de Santa Bárbara,SP,aguas_de_santa_barbara,3
3500600,350060,Águas de São Pedro,SP,aguas_de_sao_pedro,1
3100906,310090,Águas Formosas,MG,aguas_formosas,9
4200556,420055,Águas Frias,SC,aguas_frias,1
5200258,520025,Águas Lindas de Goiás,GO,aguas_lindas_de_goias,35
4200606,420060,Águas Mornas,SC,aguas_mornas,2
3101003,310100,Águas Vermelhas,MG,aguas_vermelhas,7
4300109,430010,Agudo,RS,agudo,6
3500709,350070,Agudos,SP,agudos,10
4100301,410030,Agudos do Sul,PR,agudos_do_sul,5
3200136,320013,Águia Branca,ES,aguia_branca,6
2500205,250020,Aguiar,PB,aguiar,3
1700301,170030,Aguiarnópolis,TO,aguiarnopolis,3
3101102,310110,Aimorés,MG,aimores,9
2900603,290060,Aiquara,BA,aiquara,2
2300408,230040,Aiuaba,CE,aiuaba,8
3101201,310120,Aiuruoca,MG,aiuruoca,4
4300208,430020,Ajuricaba,RS,ajuricaba,4
3101300,310130,Alagoa,MG,alagoa,3
2500304,250030,Alagoa Grande,PB,alagoa_grande,15
2500403,250040,Alagoa Nova,PB,alagoa_nova,13
2500502,250050,Alagoinha,PB,alagoinha,15
2600609,260060,Alagoinha,PE,alagoinha,8
2200251,220025,Alagoinha do Piauí,PI,alagoinha_do_piaui,6
2900702,290070,Alagoinhas,BA,alagoinhas,41
3500758,350075,Alambari,SP,alambari,5
3101409,310140,Albertina,MG,albertina,1
2100204,210020,Alcântara,MA,alcantara,20
2300507,230050,Alcântaras,CE,alcantaras,8
2500536,250053,Alcantil,PB,alcantil,4
5000252,500025,Alcinópolis,MS,alcinopolis,2
2900801,290080,Alcobaça,BA,alcobaca,12
2100303,210030,Aldeias Altas,MA,aldeias_altas,14
4300307,430030,Alecrim,RS,alecrim,2
3200201,320020,Alegre,ES,alegre,12
4300406,430040,Alegrete,RS,alegrete,27
2200277,220027,Alegrete do Piauí,PI,alegrete_do_piaui,4
4300455,430045,Alegria,RS,alegria,2
3101508,310150,Além Paraíba,MG,alem_paraiba,20
1500404,150040,Alenquer,PA,alenquer,8
2400505,240050,Alexandria,RN,alexandria,12
5200308,520030,Alexânia,GO,alexania,10
3101607,310160,Alfenas,MG,alfenas,31
3200300,320030,Alfredo Chaves,ES,alfredo_chaves,15
3500808,350080,Alfredo Marcondes,SP,alfredo_marcondes,2
3101631,310163,Alfredo Vasconcelos,MG,alfredo_vasconcelos,2
4200705,420070,Alfredo Wagner,SC,alfredo_wagner,4
2500577,250057,Algodão de Jandaíra,PB,algodao_de_jandaira,3
2500601,250060,Alhandra,PB,alhandra,12
2600708,260070,Aliança,PE,alianca,26
1700350,170035,Aliança do Tocantins,TO,alianca_do_tocantins,2
2900900,290090,Almadina,BA,almadina,3
1700400,170040,Almas,TO,almas,1
1500503,150050,Almeirim,PA,almeirim,21
3101706,310170,Almenara,MG,almenara,14
2400604,240060,Almino Afonso,RN,almino_afonso,6
4100400,410040,Almirante Tamandaré,PR,almirante_tamandare,13
4300471,430047,Almirante Tamandaré do Sul,RS,almirante_tamandare_do_sul,3
5200506,520050,Aloândia,GO,aloandia,1
3101805,310180,Alpercata,MG,alpercata,3
4300505,430050,Alpestre,RS,alpestre,4
3101904,310190,Alpinópolis,MG,alpinopolis,10
5100250,510025,Alta Floresta,MT,alta_floresta,30
1100015,110001,Alta Floresta D'Oeste,RO,alta_floresta_d_oeste,10
3500907,350090,Altair,SP,altair,3
1500602,150060,Altamira,PA,altamira,50
2100402,210040,Altamira do Maranhão,MA,altamira_do_maranhao,7
4100459,410045,Altamira do Paraná,PR,altamira_do_parana,2
2300606,230060,Altaneira,CE,altaneira,7
3102001,310200,Alterosa,MG,alterosa,5
2600807,260080,Altinho,PE,altinho,13
3501004,350100,Altinópolis,SP,altinopolis,9
3501103,350110,Alto Alegre,SP,alto_alegre,3
4300554,430055,Alto Alegre,RS,alto_alegre,1
1400050,140005,Alto Alegre,RR,alto_alegre,11
2100436,210043,Alto Alegre do Maranhão,MA,alto_alegre_do_maranhao,11
2100477,210047,Alto Alegre do Pindaré,MA,alto_alegre_do_pindare,21
1100379,110037,Alto Alegre dos Parecis,RO,alto_alegre_dos_parecis,6
5100300,510030,Alto Araguaia,MT,alto_araguaia,8
4200754,420075,Alto Bela Vista,SC,alto_bela_vista,3
5100359,510035,Alto Boa Vista,MT,alto_boa_vista,3
3102050,310205,Alto Caparaó,MG,alto_caparao,5
2400703,240070,Alto do Rodrigues,RN,alto_do_rodrigues,9
4300570,430057,Alto Feliz,RS,alto_feliz,2
5100409,510040,Alto Garças,MT,alto_garcas,4
5200555,520055,Alto Horizonte,GO,alto_horizonte,2
3153509,315350,Alto Jequitibá,MG,alto_jequitiba,5
2200301,220030,Alto Longá,PI,alto_longa,7
5100508,510050,Alto Paraguai,MT,alto_paraguai,7
4128625,412862,Alto Paraíso,PR,alto_paraiso,3
1100403,110040,Alto Paraíso,RO,alto_paraiso,7
5200605,520060,Alto Paraíso de Goiás,GO,alto_paraiso_de_goias,6
4100608,410060,Alto Paraná,PR,alto_parana,5
2100501,210050,Alto Parnaíba,MA,alto_parnaiba,5
4100707,410070,Alto Piquiri,PR,alto_piquiri,6
3102100,310210,Alto Rio Doce,MG,alto_rio_doce,8
3200359,320035,Alto Rio Novo,ES,alto_rio_novo,4
2300705,230070,Alto Santo,CE,alto_santo,7
5100607,510060,Alto Taquari,MT,alto_taquari,4
4100509,410050,Altônia,PR,altonia,11
2200400,220040,Altos,PI,altos,19
3501152,350115,Alumínio,SP,aluminio,2
1300029,130002,Alvarães,AM,alvaraes,6
3102209,310220,Alvarenga,MG,alvarenga,2
3501202,350120,Álvares Florence,SP,alvares_florence,3
3501301,350130,Álvares Machado,SP,alvares_machado,9
3501400,350140,Álvaro de Carvalho,SP,alvaro_de_carvalho,3
3501509,350150,Alvinlândia,SP,alvinlandia,1
3102308,310230,Alvinópolis,MG,alvinopolis,8
1700707,170070,Alvorada,TO,alvorada,5
4300604,430060,Alvorada,RS,alvorada,22
3102407,310240,Alvorada de Minas,MG,alvorada_de_minas,7
2200459,220045,Alvorada do Gurguéia,PI,alvorada_do_gurgueia,5
5200803,520080,Alvorada do Norte,GO,alvorada_do_norte,4
4100806,410080,Alvorada do Sul,PR,alvorada_do_sul,4
1100346,110034,Alvorada D'Oeste,RO,alvorada_d_oeste,6
1400027,140002,Amajari,RR,amajari,14
5000609,500060,Amambai,MS,amambai,11
1600105,160010,Amapá,AP,amapa,9
2100550,210055,Amapá do Maranhão,MA,amapa_do_maranhao,4
4100905,410090,Amaporã,PR,amapora,3
2600906,260090,Amaraji,PE,amaraji,9
4300638,430063,Amaral Ferrador,RS,amaral_ferrador,2
5200829,520082,Amaralina,GO,amaralina,3
2200509,220050,Amarante,PI,amarante,31
2100600,210060,Amarante do Maranhão,MA,amarante_do_maranhao,29
2901007,290100,Amargosa,BA,amargosa,12
1300060,130006,Amaturá,AM,amatura,3
2901106,290110,Amélia Rodrigues,BA,amelia_rodrigues,12
2901155,290115,América Dourada,BA,america_dourada,14
3501608,350160,Americana,SP,americana,26
5200852,520085,Americano do Brasil,GO,americano_do_brasil,2
3501707,350170,Américo Brasiliense,SP,americo_brasiliense,7
3501806,350180,Américo de Campos,SP,americo_de_campos,3
4300646,430064,Ametista do Sul,RS,ametista_do_sul,4
2300754,230075,Amontada,CE,amontada,17
5200902,520090,Amorinópolis,GO,amorinopolis,3
3501905,350190,Amparo,SP,amparo,20
2500734,250073,Amparo,PB,amparo,4
2800100,280010,Amparo do São Francisco,SE,amparo_do_sao_francisco,6
3102506,310250,Amparo do Serra,MG,amparo_do_serra,3
4101002,410100,Ampére,PR,ampere,11
2700201,270020,Anadia,AL,anadia,10
2901205,290120,Anagé,BA,anage,10
4101051,410105,Anahy,PR,anahy,2
1500701,150070,Anajás,PA,anajas,12
2100709,210070,Anajatuba,MA,anajatuba,19
3502002,350200,Analândia,SP,analandia,2
1300086,130008,Anamã,AM,anama,6
1701002,170100,Ananás,TO,ananas,3
1500800,150080,Ananindeua,PA,ananindeua,80
5201108,520110,Anápolis,GO,anapolis,57
1500859,150085,Anapu,PA,anapu,14
2100808,210080,Anapurus,MA,anapurus,9
5000708,500070,Anastácio,MS,anastacio,14
5000807,500080,Anaurilândia,MS,anaurilandia,4
4200804,420080,Anchieta,SC,anchieta,3
3200409,320040,Anchieta,ES,anchieta,24
2901304,290130,Andaraí,BA,andarai,5
4101101,410110,Andirá,PR,andira,8
2901353,290135,Andorinha,BA,andorinha,7
3102605,310260,Andradas,MG,andradas,12
3502101,350210,Andradina,SP,andradina,10
4300661,430066,André da Rocha,RS,andre_da_rocha,1
3102803,310280,Andrelândia,MG,andrelandia,4
3502200,350220,Angatuba,SP,angatuba,12
3102852,310285,Angelândia,MG,angelandia,5
5000856,500085,Angélica,MS,angelica,4
2601003,260100,Angelim,PE,angelim,10
4200903,420090,Angelina,SC,angelina,5
2901403,290140,Angical,BA,angical,5
2200608,220060,Angical do Piauí,PI,angical_do_piaui,9
1701051,170105,Angico,TO,angico,2
2400802,240080,Angicos,RN,angicos,6
3300100,330010,Angra dos Reis,RJ,angra_dos_reis,55
2901502,290150,Anguera,BA,anguera,13
4101150,410115,Ângulo,PR,angulo,2
5201207,520120,Anhanguera,GO,anhanguera,1
3502309,350230,Anhembi,SP,anhembi,4
3502408,350240,Anhumas,SP,anhumas,3
5201306,520130,Anicuns,GO,anicuns,9
2200707,220070,Anísio de Abreu,PI,anisio_de_abreu,2
4201000,420100,Anita Garibaldi,SC,anita_garibaldi,2
4201109,420110,Anitápolis,SC,anitapolis,1
1300102,130010,Anori,AM,anori,5
4300703,430070,Anta Gorda,RS,anta_gorda,2
2901601,290160,Antas,BA,antas,7
4101200,410120,Antonina,PR,antonina,7
2300804,230080,Antonina do Norte,CE,antonina_do_norte,5
2200806,220080,Antônio Almeida,PI,antonio_almeida,2
2901700,290170,Antônio Cardoso,BA,antonio_cardoso,10
3102902,310290,Antônio Carlos,MG,antonio_carlos,5
4201208,420120,Antônio Carlos,SC,antonio_carlos,3
3103009,310300,Antônio Dias,MG,antonio_dias,8
2901809,290180,Antônio Gonçalves,BA,antonio_goncalves,7
5000906,500090,Antônio João,MS,antonio_joao,3
2400901,240090,Antônio Martins,RN,antonio_martins,8
4101309,410130,Antônio Olinto,PR,antonio_olinto,7
4300802,430080,Antônio Prado,RS,antonio_prado,5
3103108,310310,Antônio Prado de Minas,MG,antonio_prado_de_minas,4
2500775,250077,Aparecida,PB,aparecida,5
3502507,350250,Aparecida,SP,aparecida,13
5201405,520140,Aparecida de Goiânia,GO,aparecida_de_goiania,56
5201454,520145,Aparecida do Rio Doce,GO,aparecida_do_rio_doce,1
1701101,170110,Aparecida do Rio Negro,TO,aparecida_do_rio_negro,2
5001003,500100,Aparecida do Taboado,MS,aparecida_do_taboado,7
3502606,350260,Aparecida d'Oeste,SP,aparecida_d_oeste,2
3300159,330015,Aperibé,RJ,aperibe,11
3200508,320050,Apiacá,ES,apiaca,3
5100805,510080,Apiacás,MT,apiacas,4
3502705,350270,Apiaí,SP,apiai,9
2100832,210083,Apicum-Açu,MA,apicum_acu,8
4201257,420125,Apiúna,SC,apiuna,8
2401008,240100,Apodi,RN,apodi,14
2901908,290190,Aporá,BA,apora,7
5201504,520150,Aporé,GO,apore,1
2901957,290195,Apuarema,BA,apuarema,6
4101408,410140,Apucarana,PR,apucarana,35
1300144,130014,Apuí,AM,apui,8
2300903,230090,Apuiarés,CE,apuiares,9
2800209,280020,Aquidabã,SE,aquidaba,15
5001102,500110,Aquidauana,MS,aquidauana,15
2301000,230100,Aquiraz,CE,aquiraz,44
4201273,420127,Arabutã,SC,arabuta,3
2500809,250080,Araçagi,PB,aracagi,15
3103207,310320,Araçaí,MG,aracai,2
2800308,280030,Aracaju,SE,aracaju,51
3502754,350275,Araçariguama,SP,aracariguama,4
2902054,290205,Araçás,BA,aracas,4
2301109,230110,Aracati,CE,aracati,25
2902005,290200,Aracatu,BA,aracatu,9
3502804,350280,Araçatuba,SP,aracatuba,23
2902104,290210,Araci,BA,araci,25
3103306,310330,Aracitaba,MG,aracitaba,1
2301208,230120,Aracoiaba,CE,aracoiaba,18
2601052,260105,Araçoiaba,PE,aracoiaba,9
3502903,350290,Araçoiaba da Serra,SP,aracoiaba_da_serra,9
3200607,320060,Aracruz,ES,aracruz,23
5201603,520160,Araçu,GO,aracu,2
3103405,310340,Araçuaí,MG,aracuai,21
5201702,520170,Aragarças,GO,aragarcas,8
5201801,520180,Aragoiânia,GO,aragoiania,4
1701309,170130,Aragominas,TO,aragominas,3
1701903,170190,Araguacema,TO,araguacema,2
1702000,170200,Araguaçu,TO,araguacu,5
5101001,510100,Araguaiana,MT,araguaiana,2
1702109,170210,Araguaína,TO,araguaina,23
5101209,510120,Araguainha,MT,araguainha,1
1702158,170215,Araguanã,TO,araguana,4
2100873,210087,Araguanã,MA,araguana,10
5202155,520215,Araguapaz,GO,araguapaz,3
3103504,310350,Araguari,MG,araguari,31
1702208,170220,Araguatins,TO,araguatins,13
2100907,210090,Araioses,MA,araioses,21
5001243,500124,Aral Moreira,MS,aral_moreira,9
2902203,290220,Aramari,BA,aramari,7
4300851,430085,Arambaré,RS,arambare,2
2100956,210095,Arame,MA,arame,15
3503000,350300,Aramina,SP,aramina,5
3503109,350310,Arandu,SP,arandu,1
3103603,310360,Arantina,MG,arantina,1
3503158,350315,Arapeí,SP,arapei,2
2700300,270030,Arapiraca,AL,arapiraca,48
1702307,170230,Arapoema,TO,arapoema,2
3103702,310370,Araponga,MG,araponga,5
4101507,410150,Arapongas,PR,arapongas,31
3103751,310375,Araporã,MG,arapora,3
4101606,410160,Arapoti,PR,arapoti,13
3103801,310380,Arapuá,MG,arapua,2
4101655,410165,Arapuã,PR,arapua,7
5101258,510125,Araputanga,MT,araputanga,8
4201307,420130,Araquari,SC,araquari,14
2500908,250090,Arara,PB,arara,8
4201406,420140,Araranguá,SC,ararangua,27
3503208,350320,Araraquara,SP,araraquara,47
3503307,350330,Araras,SP,araras,28
2301257,230125,Ararendá,CE,ararenda,6
2101004,210100,Arari,MA,arari,17
4300877,430087,Araricá,RS,ararica,3
2301307,230130,Araripe,CE,araripe,10
2601102,260110,Araripina,PE,araripina,46
3300209,330020,Araruama,RJ,araruama,34
4101705,410170,Araruna,PR,araruna,8
2501005,250100,Araruna,PB,araruna,10
2902252,290225,Arataca,BA,arataca,5
4300901,430090,Aratiba,RS,aratiba,2
2301406,230140,Aratuba,CE,aratuba,9
2902302,290230,Aratuípe,BA,aratuipe,4
2800407,280040,Arauá,SE,araua,8
4101804,410180,Araucária,PR,araucaria,19
3103900,310390,Araújos,MG,araujos,6
3104007,310400,Araxá,MG,araxa,26
3104106,310410,Arceburgo,MG,arceburgo,7
3503356,350335,Arco-Íris,SP,arco_iris,1
3104205,310420,Arcos,MG,arcos,16
2601201,260120,Arcoverde,PE,arcoverde,36
3104304,310430,Areado,MG,areado,5
3300225,330022,Areal,RJ,areal,7
3503406,350340,Arealva,SP,arealva,5
2501104,250110,Areia,PB,areia,15
2401107,240110,Areia Branca,RN,areia_branca,10
2800506,280050,Areia Branca,SE,areia_branca,16
2501153,250115,Areia de Baraúnas,PB,areia_de_baraunas,3
2501203,250120,Areial,PB,areial,4
3503505,350350,Areias,SP,areias,2
3503604,350360,Areiópolis,SP,areiopolis,3
5101308,510130,Arenápolis,MT,arenapolis,5
5202353,520235,Arenópolis,GO,arenopolis,3
2401206,240120,Arês,RN,ares,8
3104403,310440,Argirita,MG,argirita,3
3104452,310445,Aricanduva,MG,aricanduva,4
3104502,310450,Arinos,MG,arinos,11
5101407,510140,Aripuanã,MT,aripuana,12
1100023,110002,Ariquemes,RO,ariquemes,15
3503703,350370,Ariranha,SP,ariranha,3
4101853,410185,Ariranha do Ivaí,PR,ariranha_do_ivai,1
3300233,330023,Armação dos Búzios,RJ,armacao_dos_buzios,23
4201505,420150,Armazém,SC,armazem,3
2301505,230150,Arneiroz,CE,arneiroz,9
2200905,220090,Aroazes,PI,aroazes,5
2501302,250130,Aroeiras,PB,aroeiras,10
2200954,220095,Aroeiras do Itaim,PI,aroeiras_do_itaim,5
2201002,220100,Arraial,PI,arraial,5
3300258,330025,Arraial do Cabo,RJ,arraial_do_cabo,11
1702406,170240,Arraias,TO,arraias,7
4301008,430100,Arroio do Meio,RS,arroio_do_meio,9
4301073,430107,Arroio do Padre,RS,arroio_do_padre,1
4301057,430105,Arroio do Sal,RS,arroio_do_sal,6
4301206,430120,Arroio do Tigre,RS,arroio_do_tigre,6
4301107,430110,Arroio dos Ratos,RS,arroio_dos_ratos,4
4301305,430130,Arroio Grande,RS,arroio_grande,9
4201604,420160,Arroio Trinta,SC,arroio_trinta,1
3503802,350380,Artur Nogueira,SP,artur_nogueira,18
5202502,520250,Aruanã,GO,aruana,3
3503901,350390,Arujá,SP,aruja,8
4201653,420165,Arvoredo,SC,arvoredo,1
4301404,430140,Arvorezinha,RS,arvorezinha,5
4201703,420170,Ascurra,SC,ascurra,3
3503950,350395,Aspásia,SP,aspasia,1
4101903,410190,Assaí,PR,assai,6
2301604,230160,Assaré,CE,assare,15
3504008,350400,Assis,SP,assis,25
1200054,120005,Assis Brasil,AC,assis_brasil,4
4102000,410200,Assis Chateaubriand,PR,assis_chateaubriand,14
2501351,250135,Assunção,PB,assuncao,5
2201051,220105,Assunção do Piauí,PI,assuncao_do_piaui,6
3104601,310460,Astolfo Dutra,MG,astolfo_dutra,11
4102109,410210,Astorga,PR,astorga,9
4102208,410220,Atalaia,PR,atalaia,4
2700409,270040,Atalaia,AL,atalaia,19
1300201,130020,Atalaia do Norte,AM,atalaia_do_norte,9
4201802,420180,Atalanta,SC,atalanta,1
3104700,310470,Ataléia,MG,ataleia,7
3504107,350410,Atibaia,SP,atibaia,19
3200706,320070,Atílio Vivácqua,ES,atilio_vivacqua,7
1702554,170255,Augustinópolis,TO,augustinopolis,8
1500909,150090,Augusto Corrêa,PA,augusto_correa,25
3104809,310480,Augusto de Lima,MG,augusto_de_lima,1
4301503,430150,Augusto Pestana,RS,augusto_pestana,1
4301552,430155,Áurea,RS,aurea,1
2902401,290240,Aurelino Leal,BA,aurelino_leal,8
3504206,350420,Auriflama,SP,auriflama,6
5202601,520260,Aurilândia,GO,aurilandia,2
4201901,420190,Aurora,SC,aurora,1
2301703,230170,Aurora,CE,aurora,12
1500958,150095,Aurora do Pará,PA,aurora_do_para,14
1702703,170270,Aurora do Tocantins,TO,aurora_do_tocantins,2
1300300,130030,Autazes,AM,autazes,13
3504305,350430,Avaí,SP,avai,3
3504404,350440,Avanhandava,SP,avanhandava,6
3504503,350450,Avaré,SP,avare,22
1501006,150100,Aveiro,PA,aveiro,8
2201101,220110,Avelino Lopes,PI,avelino_lopes,7
5202809,520280,Avelinópolis,GO,avelinopolis,1
2101103,210110,Axixá,MA,axixa,12
1702901,170290,Axixá do Tocantins,TO,axixa_do_tocantins,5
1703008,170300,Babaçulândia,TO,babaculandia,6
2101202,210120,Bacabal,MA,bacabal,27
2101251,210125,Bacabeira,MA,bacabeira,16
2101301,210130,Bacuri,MA,bacuri,10
2101350,210135,Bacurituba,MA,bacurituba,5
3504602,350460,Bady Bassitt,SP,bady_bassitt,3
3104908,310490,Baependi,MG,baependi,9
4301602,430160,Bagé,RS,bage,27
1501105,150110,Bagre,PA,bagre,12
2501401,250140,Baía da Traição,PB,baia_da_traicao,5
2401404,240140,Baía Formosa,RN,baia_formosa,6
2902500,290250,Baianópolis,BA,baianopolis,6
1501204,150120,Baião,PA,baiao,24
2902609,290260,Baixa Grande,BA,baixa_grande,13
2201150,220115,Baixa Grande do Ribeiro,PI,baixa_grande_do_ribeiro,8
2301802,230180,Baixio,CE,baixio,3
3200805,320080,Baixo Guandu,ES,baixo_guandu,17
3504701,350470,Balbinos,SP,balbinos,4
3105004,310500,Baldim,MG,baldim,2
5203104,520310,Baliza,GO,baliza,3
4201950,420195,Balneário Arroio do Silva,SC,balneario_arroio_do_silva,7
4202057,420205,Balneário Barra do Sul,SC,balneario_barra_do_sul,4
4202008,420200,Balneário Camboriú,SC,balneario_camboriu,19
4202073,420207,Balneário Gaivota,SC,balneario_gaivota,9
4212809,421280,Balneário Piçarras,SC,balneario_picarras,10
4301636,430163,Balneário Pinhal,RS,balneario_pinhal,4
4220000,422000,Balneário Rincão,SC,balneario_rincao,6
4102307,410230,Balsa Nova,PR,balsa_nova,7
3504800,350480,Bálsamo,SP,balsamo,4
2101400,210140,Balsas,MA,balsas,42
3105103,310510,Bambuí,MG,bambui,8
2301851,230185,Banabuiú,CE,banabuiu,13
3504909,350490,Bananal,SP,bananal,5
2501500,250150,Bananeiras,PB,bananeiras,11
3105202,310520,Bandeira,MG,bandeira,2
3105301,310530,Bandeira do Sul,MG,bandeira_do_sul,3
4202081,420208,Bandeirante,SC,bandeirante,1
5001508,500150,Bandeirantes,MS,bandeirantes,6
4102406,410240,Bandeirantes,PR,bandeirantes,12
1703057,170305,Bandeirantes do Tocantins,TO,bandeirantes_do_tocantins,1
1501253,150125,Bannach,PA,bannach,6
2902658,290265,Banzaê,BA,banzae,7
4301651,430165,Barão,RS,barao,4
3505005,350500,Barão de Antonina,SP,barao_de_antonina,2
3105400,310540,Barão de Cocais,MG,barao_de_cocais,11
4301701,430170,Barão de Cotegipe,RS,barao_de_cotegipe,3
2101509,210150,Barão de Grajaú,MA,barao_de_grajau,14
5101605,510160,Barão de Melgaço,MT,barao_de_melgaco,11
3105509,310550,Barão do Monte Alto,MG,barao_do_monte_alto,4
4301750,430175,Barão do Triunfo,RS,barao_do_triunfo,2
2501534,250153,Baraúna,PB,barauna,6
2401453,240145,Baraúna,RN,barauna,12
3105608,310560,Barbacena,MG,barbacena,29
2301901,230190,Barbalha,CE,barbalha,26
3505104,350510,Barbosa,SP,barbosa,1
4102505,410250,Barbosa Ferraz,PR,barbosa_ferraz,10
1501303,150130,Barcarena,PA,barcarena,40
2401503,240150,Barcelona,RN,barcelona,4
1300409,130040,Barcelos,AM,barcelos,7
3505203,350520,Bariri,SP,bariri,7
2902708,290270,Barra,BA,barra,20
3505302,350530,Barra Bonita,SP,barra_bonita,8
4202099,420209,Barra Bonita,SC,barra_bonita,2
2902807,290280,Barra da Estiva,BA,barra_da_estiva,9
2201176,220117,Barra D'Alcântara,PI,barra_d_alcantara,2
2601300,260130,Barra de Guabiraba,PE,barra_de_guabiraba,9
2501609,250160,Barra de Santa Rosa,PB,barra_de_santa_rosa,9
2501575,250157,Barra de Santana,PB,barra_de_santana,13
2700508,270050,Barra de Santo Antônio,AL,barra_de_santo_antonio,7
3200904,320090,Barra de São Francisco,ES,barra_de_sao_francisco,29
2700607,270060,Barra de São Miguel,AL,barra_de_sao_miguel,6
2501708,250170,Barra de São Miguel,PB,barra_de_sao_miguel,4
5101704,510170,Barra do Bugres,MT,barra_do_bugres,16
3505351,350535,Barra do Chapéu,SP,barra_do_chapeu,5
2902906,290290,Barra do Choça,BA,barra_do_choca,11
2101608,210160,Barra do Corda,MA,barra_do_corda,30
5101803,510180,Barra do Garças,MT,barra_do_garcas,28
4301859,430185,Barra do Guarita,RS,barra_do_guarita,3
4102703,410270,Barra do Jacaré,PR,barra_do_jacare,2
2903003,290300,Barra do Mendes,BA,barra_do_mendes,17
1703073,170307,Barra do Ouro,TO,barra_do_ouro,2
3300308,330030,Barra do Piraí,RJ,barra_do_pirai,28
4301875,430187,Barra do Quaraí,RS,barra_do_quarai,4
4301909,430190,Barra do Ribeiro,RS,barra_do_ribeiro,3
4301925,430192,Barra do Rio Azul,RS,barra_do_rio_azul,1
2903102,290310,Barra do Rocha,BA,barra_do_rocha,5
3505401,350540,Barra do Turvo,SP,barra_do_turvo,5
2800605,280060,Barra dos Coqueiros,SE,barra_dos_coqueiros,14
4301958,430195,Barra Funda,RS,barra_funda,1
3105707,310570,Barra Longa,MG,barra_longa,4
3300407,330040,Barra Mansa,RJ,barra_mansa,57
4202107,420210,Barra Velha,SC,barra_velha,12
4301800,430180,Barracão,RS,barracao,3
4102604,410260,Barracão,PR,barracao,4
2201200,220120,Barras,PI,barras,25
2301950,230195,Barreira,CE,barreira,17
2903201,290320,Barreiras,BA,barreiras,55
