,D1_pbf,D1_analf,D1_negros,D1_obitos_viol,D1_risco_amb,D2_sem_saneam,D2_sem_lixo,D2_sem_esf,D2_evasao_em,D2_sem_creche,D3_entidades,D4_mae_adol,D5_menor1,D5_adol,D5_mif,D5_idosos
DEMO_042,0.25,1.0,0.25,0.75,0.25,1.0,0.25,1.0,0.25,0.25,0.75,0.75,0.25,0.25,1.0,1.0
DEMO_043,1.0,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.75,0.25,1.0,0.25
DEMO_044,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.5,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.75
DEMO_045,0.75,1.0,0.25,0.25,0.25,0.25,1.0,0.25,0.25,1.0,0.75,0.75,0.75,1.0,0.25,0.25
DEMO_046,0.75,0.25,0.25,0.25,0.25,0.75,1.0,0.25,1.0,0.25,0.0,1.0,0.25,0.25,0.75,0.25
DEMO_047,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,1.0,0.25,0.75,0.25,0.25,0.25,0.5,0.25
DEMO_048,0.25,0.25,0.75,1.0,0.25,0.25,0.75,0.75,0.25,1.0,0.0,0.75,1.0,0.75,0.25,0.25
DEMO_049,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.25,0.25,1.0,0.25
DEMO_050,0.75,0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.25,0.25,0.75,0.25,1.0,0.25,1.0,0.25
DEMO_051,1.0,0.25,0.25,0.25,0.25,0.75,1.0,0.25,0.25,1.0,0.75,0.25,0.5,0.75,0.25,0.25
DEMO_052,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.75
DEMO_053,0.75,1.0,0.25,0.75,0.75,0.25,0.75,0.25,0.75,0.5,0.75,0.25,0.25,1.0,1.0,0.25
DEMO_054,0.25,1.0,1.0,0.75,1.0,0.25,0.25,0.25,0.25,0.25,0.75,0.25,1.0,1.0,1.0,1.0
DEMO_055,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.75,0.25,0.25,0.25,1.0,0.25
DEMO_056,0.5,0.25,0.25,1.0,0.25,0.25,0.25,0.75,1.0,0.25,0.25,0.75,0.25,1.0,0.25,0.75
DEMO_057,1.0,0.25,1.0,0.25,0.25,1.0,0.25,0.25,1.0,0.25,0.0,0.25,1.0,0.25,0.75,0.75
DEMO_058,0.25,0.25,0.25,0.25,0.25,1.0,0.25,1.0,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.75
DEMO_059,0.75,0.25,0.25,1.0,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.75,1.0,0.75,0.75
DEMO_060,1.0,1.0,1.0,0.25,1.0,0.5,0.25,0.25,1.0,1.0,0.75,0.25,0.25,1.0,0.25,0.25
DEMO_061,0.25,0.25,0.75,0.25,0.5,0.75,0.25,0.25,0.25,1.0,0.5,1.0,1.0,0.75,0.75,0.25
DEMO_062,0.75,0.25,1.0,0.25,0.25,1.0,0.75,0.5,0.25,1.0,0.75,0.25,0.25,0.25,0.25,0.5
DEMO_063,0.25,0.75,1.0,1.0,0.25,1.0,1.0,0.75,1.0,0.25,0.75,0.75,1.0,0.25,0.25,0.25
DEMO_064,0.75,0.25,0.25,0.25,0.25,0.25,1.0,0.75,0.75,0.25,0.75,1.0,0.25,0.25,0.75,0.25
DEMO_065,0.25,0.25,1.0,1.0,0.75,0.25,1.0,0.25,0.5,1.0,0.75,0.25,1.0,0.25,0.25,0.25
DEMO_066,0.75,0.25,0.25,0.25,1.0,0.5,0.25,0.25,1.0,0.25,0.75,0.25,0.75,0.5,1.0,1.0
DEMO_067,0.75,0.75,0.5,1.0,0.75,1.0,1.0,0.25,1.0,0.25,0.5,1.0,0.25,0.25,0.75,0.25
DEMO_068,0.25,0.25,0.25,0.75,0.75,0.75,0.25,1.0,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25
DEMO_069,0.25,0.25,1.0,0.25,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.75,0.25,0.25,0.75,0.25
DEMO_070,0.25,0.25,0.25,1.0,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.5,1.0,0.25,0.25,0.25
DEMO_071,1.0,0.25,0.25,0.25,0.75,1.0,0.25,0.25,0.25,1.0,0.75,0.5,0.25,0.25,0.25,0.25
DEMO_072,0.25,0.25,0.75,0.25,0.25,0.5,0.25,0.25,0.75,0.75,0.75,0.25,1.0,0.5,0.75,0.25
DEMO_073,0.25,0.75,0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.25,0.75,0.25,0.75,0.25,1.0,0.25
DEMO_074,0.75,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.5,0.25,1.0,0.75
DEMO_075,0.25,1.0,0.25,0.25,0.25,0.25,0.25,1.0,0.25,1.0,0.75,0.25,0.25,1.0,0.75,1.0
DEMO_076,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.75,1.0,0.25,0.25,0.25,0.25
DEMO_077,0.25,0.75,0.25,0.5,1.0,1.0,0.25,0.25,1.0,0.25,0.5,0.5,1.0,0.25,0.75,0.25
DEMO_078,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.75,0.75,0.25,0.5,0.25,0.25
DEMO_079,0.5,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.5,0.25,0.25,0.25,1.0,0.25
DEMO_080,0.25,0.75,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.0,0.25,0.75,0.25,0.25,0.75
DEMO_081,0.25,0.25,1.0,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.5,0.25,0.25,1.0,0.25,1.0
DEMO_082,0.75,0.25,0.75,0.25,0.25,1.0,0.25,0.5,0.25,0.25,0.5,0.25,1.0,0.75,0.25,0.25
DEMO_083,1.0,0.25,0.25,1.0,0.25,0.25,1.0,1.0,1.0,0.75,0.75,0.5,0.25,0.5,0.25,1.0
DEMO_084,0.75,1.0,1.0,0.25,0.25,0.25,0.5,0.75,0.25,0.25,0.75,0.25,0.25,1.0,0.25,0.25
DEMO_085,0.25,0.5,0.25,1.0,1.0,1.0,0.75,0.25,0.75,1.0,0.25,0.5,0.25,1.0,0.25,0.25
DEMO_086,0.5,0.5,0.25,0.75,1.0,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,1.0,0.25,1.0
DEMO_087,0.5,0.25,0.75,1.0,0.25,0.25,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.25,0.25,0.25
DEMO_088,1.0,0.75,1.0,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.75,0.25
DEMO_089,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.75,0.5,0.25,0.75,0.25,0.75,0.25,0.5,0.25
DEMO_090,1.0,1.0,0.25,0.75,1.0,1.0,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.25
DEMO_091,0.5,0.25,0.75,0.25,0.25,1.0,0.25,0.25,1.0,0.5,0.5,0.25,0.25,0.25,0.75,0.75
DEMO_092,0.25,0.25,0.25,1.0,0.75,0.25,0.25,0.25,0.25,1.0,0.5,0.25,1.0,1.0,1.0,0.25
DEMO_093,0.5,1.0,1.0,0.25,0.25,0.25,1.0,1.0,0.25,0.75,0.5,0.25,1.0,0.25,0.25,0.25
DEMO_094,0.5,0.25,1.0,0.25,0.75,0.25,0.25,1.0,0.25,0.25,0.75,0.25,0.75,0.25,0.25,0.25
DEMO_095,1.0,0.25,0.25,0.25,0.75,0.25,1.0,0.25,1.0,0.25,0.75,1.0,0.25,0.25,0.25,0.5
DEMO_096,0.25,1.0,0.25,0.25,0.75,1.0,0.25,0.25,0.75,0.25,0.75,0.25,0.25,0.25,1.0,0.75
DEMO_097,0.25,0.25,1.0,1.0,1.0,0.75,1.0,0.25,1.0,0.75,0.75,1.0,0.75,0.25,0.25,0.75
DEMO_098,0.5,1.0,0.75,0.75,0.25,1.0,1.0,1.0,0.25,0.75,0.75,0.75,0.25,0.25,0.75,0.25
DEMO_099,0.25,0.25,0.25,0.25,1.0,0.25,1.0,1.0,0.25,0.75,0.75,0.5,1.0,1.0,0.25,0.25
DEMO_100,1.0,0.25,0.25,1.0,0.25,0.25,1.0,0.25,0.25,0.75,0.0,0.25,0.25,0.25,0.25,1.0
DEMO_101,0.75,0.25,0.75,1.0,0.25,0.75,1.0,0.25,0.25,0.25,0.5,0.25,1.0,0.25,1.0,1.0
DEMO_102,0.25,0.25,0.75,0.25,0.25,1.0,1.0,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,1.0
DEMO_103,1.0,0.5,1.0,0.25,0.75,0.25,0.25,0.25,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25
DEMO_104,0.25,0.25,0.25,0.25,0.25,1.0,0.25,1.0,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.75
DEMO_105,0.25,1.0,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.25
DEMO_106,0.25,0.25,0.25,0.25,0.5,1.0,0.25,1.0,0.25,0.25,0.5,0.25,0.25,1.0,0.25,0.25
DEMO_107,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25
DEMO_108,0.25,0.5,0.25,0.75,0.25,0.25,0.25,0.25,1.0,0.25,0.5,0.25,1.0,0.75,0.25,0.25
DEMO_109,0.25,1.0,0.25,1.0,0.25,0.25,0.25,0.75,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0.25
DEMO_110,1.0,0.75,1.0,0.75,0.25,0.5,0.25,0.25,1.0,0.25,0.0,0.75,0.25,0.5,0.25,0.25
DEMO_111,0.25,0.25,0.25,0.25,1.0,0.25,0.75,0.25,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
DEMO_112,0.25,0.75,0.25,0.25,1.0,0.25,0.75,1.0,0.25,1.0,0.75,0.75,0.75,0.5,0.25,0.25
DEMO_113,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,1.0,0.25,1.0,0.75
DEMO_114,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,1.0,0.25,1.0,0.25
DEMO_115,0.75,1.0,0.25,0.25,1.0,0.75,0.25,0.25,0.25,0.25,0.75,0.25,0.5,1.0,0.75,1.0
DEMO_116,0.75,1.0,0.25,0.75,0.25,0.5,0.75,1.0,0.75,1.0,0.75,0.5,1.0,0.25,0.75,0.25
DEMO_117,1.0,0.75,0.75,1.0,0.25,0.25,0.25,0.5,0.25,0.75,0.5,1.0,0.25,0.75,0.25,0.25
DEMO_118,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.5,0.25,0.25,0.75,1.0,1.0,1.0,1.0,0.75
DEMO_119,0.25,0.25,0.25,0.75,0.25,0.25,0.25,1.0,0.25,1.0,0.75,0.75,0.25,0.25,1.0,0.5
DEMO_120,0.25,0.75,0.25,1.0,1.0,0.25,1.0,0.25,1.0,1.0,0.75,0.25,0.75,0.25,0.25,0.25
DEMO_121,0.25,0.25,0.25,0.25,0.75,0.25,0.5,1.0,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0
DEMO_122,0.75,0.25,1.0,1.0,0.25,1.0,1.0,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25
DEMO_123,0.75,0.25,0.25,0.25,0.75,0.25,0.25,0.5,1.0,0.25,0.75,0.25,0.25,0.25,1.0,0.25
DEMO_124,0.25,0.75,0.25,0.75,0.25,1.0,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25
DEMO_125,0.25,0.75,0.25,1.0,0.25,1.0,0.25,0.25,0.25,0.25,0.5,0.75,0.5,0.25,0.25,1.0
DEMO_126,0.25,0.25,0.25,1.0,0.25,0.25,1.0,0.25,0.25,0.25,0.75,0.25,0.25,0.25,1.0,0.25
DEMO_127,0.25,0.25,0.25,0.75,0.5,0.75,0.25,1.0,1.0,0.25,0.5,0.25,0.5,0.75,0.25,0.25
DEMO_128,0.25,1.0,0.25,1.0,1.0,0.5,1.0,0.25,0.25,1.0,0.25,0.75,0.75,0.75,0.25,0.25
DEMO_129,0.75,0.25,0.25,0.25,1.0,0.25,0.5,1.0,0.75,0.25,0.5,0.5,0.25,0.75,1.0,0.5
DEMO_130,0.25,0.25,0.75,0.5,0.25,0.25,0.25,0.25,1.0,0.75,0.5,1.0,0.25,0.25,0.5,0.25
DEMO_131,0.25,0.25,0.75,0.25,0.75,0.5,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.25,0.75,1.0
DEMO_132,0.25,0.25,0.75,1.0,0.75,1.0,0.25,0.25,1.0,0.75,0.5,0.25,0.25,0.25,0.25,0.25
DEMO_133,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,1.0
DEMO_134,0.75,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,1.0,0.25,0.75,0.25,0.25,0.25,0.25
DEMO_135,1.0,0.25,1.0,0.25,0.75,0.25,0.25,0.25,0.25,1.0,0.5,0.75,0.25,0.25,0.25,0.75
DEMO_136,0.25,1.0,0.25,1.0,1.0,0.75,1.0,0.25,1.0,0.25,0.75,1.0,1.0,0.25,0.25,0.25
DEMO_137,0.25,0.25,1.0,1.0,0.25,0.25,0.25,1.0,0.5,0.25,0.5,0.25,0.25,0.75,0.25,0.25
DEMO_138,0.75,0.25,0.25,0.5,0.25,0.25,0.75,0.25,0.25,1.0,0.5,0.25,0.25,0.75,0.25,1.0
DEMO_139,0.25,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.25,0.25,0.75,0.25,0.25,1.0,0.25,0.25
DEMO_140,0.75,0.75,0.25,0.25,0.25,0.25,0.5,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,1.0
DEMO_141,0.75,0.25,0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.25,0.75,0.25,1.0,0.25,0.25,0.75
