CD_setor,V01317,V01318,V01319,V01320,V01321,V01322,V01323,V01324,V01325,V01326,V01327,V01328,V01329,V01330,V01331,V01332,V01333,V01334,V01335,V01336,V01337,V01338,V01339,V01340,V01341,V01342,V01343,V01344,V01345,V01346,V01347,V01348,V01349,V01350,V01351,V01352,V01353,V01354,V01355,V01356,V01357,V01358,V01359,V01360,V01361,V01362,V01363,V01364,V01365,V01366,V01367,V01368,V01369,V01370,V01371,V01372,V01373,V01374,V01375,V01376,V01377,V01378,V01379,V01380,V01381,V01382,V01383,V01384,V01385,V01386,V01387,V01388,V01389,V01390,V01391,V01392,V01393,V01394,V01395,V01396,V01397,V01398,V01399,V01400,V01401,V01402,V01403,V01404,V01405,V01406,V01407,V01408,V01409,V01410,V01411
431440705130019,136,8,0,12,0,71,4,0,9,0,65,4,0,3,0,50,4,0,5,0,35,15,,,0,0,3,,0,0,0,0,8,25,17,0,0,0,,,0,0,0,0,0,0,0,3,,,0,0,0,0,0,20,,0,,0,23,,0,,0,66,3,0,8,0,27,,0,,0,6,0,0,0,0,65,4,0,9,0,6,,0,0,0,59,3,0,3,0
431440705130020,664,96,0,148,0,331,47,0,80,0,333,49,0,68,0,239,36,0,53,0,136,103,18,18,0,0,30,23,0,0,0,11,61,110,57,0,,8,18,9,0,0,0,0,0,0,3,14,18,18,0,0,0,0,0,116,13,0,37,0,147,22,0,31,0,290,47,0,57,0,111,14,0,23,0,48,4,0,16,0,283,43,0,64,0,41,3,0,4,0,292,46,0,64,0
431440705130021,690,184,0,186,0,335,89,0,89,0,355,95,0,97,0,279,73,0,64,0,141,138,34,39,0,0,36,28,0,0,0,34,121,95,29,0,8,24,26,15,0,0,0,0,0,0,12,20,23,9,0,0,0,0,0,147,40,0,50,0,238,59,0,58,0,267,68,0,65,0,38,17,0,13,0,57,20,0,13,0,278,69,0,76,0,46,13,0,17,0,309,82,0,80,0
431440705130022,1108,210,0,302,0,522,100,0,140,0,586,110,0,162,0,395,78,0,110,0,162,233,33,45,0,0,51,59,0,0,0,23,101,176,95,0,5,27,28,18,0,0,0,0,0,,5,39,47,18,0,0,0,0,0,252,46,0,87,0,263,61,0,71,0,445,78,0,114,0,148,25,0,30,0,81,5,0,36,0,441,95,0,104,0,90,19,0,26,0,496,91,0,136,0
431440705130023,424,94,,56,4,187,37,0,30,,237,57,,26,3,190,35,,22,,62,128,8,27,0,,9,13,0,,4,13,30,72,71,0,3,6,13,13,0,0,0,0,,0,4,8,7,3,0,0,,0,0,64,15,0,13,,79,22,0,19,0,178,31,0,20,,103,26,,4,,24,0,0,5,0,163,37,0,25,,13,4,0,3,,224,53,,23,
431440705130024,350,71,0,56,0,144,33,0,30,0,206,38,0,26,0,165,32,0,23,0,53,112,16,16,0,0,12,11,0,0,5,3,33,53,71,0,,9,12,10,0,0,0,0,0,,,6,7,7,0,0,0,0,0,43,10,0,18,0,64,15,0,10,0,139,33,0,19,0,104,13,0,9,0,11,,0,7,0,133,32,0,23,0,13,6,0,4,0,193,32,0,22,0
431440705130025,420,57,0,60,0,163,27,0,26,0,257,30,0,34,0,198,30,0,27,0,66,132,14,16,0,0,12,15,0,0,,7,29,63,98,0,0,7,7,16,0,0,0,0,0,0,0,,10,16,0,0,0,0,0,61,13,0,11,0,74,5,0,9,0,150,22,0,15,0,135,17,0,25,0,17,,0,3,0,146,25,0,23,0,19,,0,5,0,238,28,0,29,0
431440705130026,364,68,0,57,,142,28,0,30,,222,40,0,27,0,182,29,0,28,,51,131,8,21,0,0,10,18,,0,0,8,36,48,90,0,0,10,7,12,0,0,0,0,0,0,0,3,11,14,0,0,0,0,,43,14,0,6,0,62,15,0,8,0,126,22,0,18,0,133,17,0,25,,10,5,0,,0,132,23,0,28,,18,5,0,,0,204,35,0,25,0
431440705130027,464,62,0,72,0,182,25,0,32,0,282,37,0,40,0,209,32,0,30,0,85,124,12,20,0,0,16,14,0,0,0,5,31,74,99,0,,8,8,15,0,0,0,0,0,0,,4,7,18,0,0,0,0,0,50,8,0,18,0,97,15,0,13,0,182,23,0,19,0,135,16,0,22,0,13,,0,4,0,169,23,0,28,0,16,3,0,5,0,266,34,0,35,0
431440705130028,408,75,0,64,,165,31,0,24,0,243,44,0,40,,184,29,0,28,,58,126,6,23,0,0,10,18,0,,0,5,29,64,86,0,0,8,9,12,0,0,0,0,0,0,3,8,6,11,0,0,,,0,59,17,0,15,0,72,17,0,10,0,163,26,0,26,,114,15,0,13,0,19,6,0,3,0,146,25,0,21,0,21,6,0,6,0,222,38,0,34,
431440705130030,649,33,,69,0,304,15,0,36,0,345,18,,33,0,282,11,0,22,0,164,118,4,7,0,0,12,10,0,0,0,11,35,103,133,0,,,,6,0,0,0,0,0,0,,8,6,7,0,0,0,0,0,68,3,0,21,0,112,6,0,20,0,272,17,0,19,0,197,7,,9,0,19,,0,11,0,285,13,0,25,0,18,,0,4,0,327,17,,29,0
431440705130031,949,45,0,85,,456,22,0,46,0,493,23,0,39,,353,22,0,31,0,184,169,11,11,0,0,14,17,0,0,,18,87,124,122,,0,8,9,4,0,0,0,0,0,0,3,6,11,11,0,0,0,0,0,151,6,0,17,0,157,12,0,18,,432,20,0,31,0,209,7,0,19,0,55,4,0,9,0,401,18,0,37,0,46,,0,5,0,447,21,0,34,
431440705130032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431440705130033,688,27,0,62,0,327,14,0,32,0,361,13,0,30,0,244,10,0,29,0,98,146,4,6,0,0,16,13,0,0,,13,61,108,60,0,,4,4,,0,0,0,0,0,0,,10,11,6,0,0,0,0,0,131,,0,13,0,133,6,0,11,0,300,15,0,29,0,124,4,0,9,0,37,0,0,,0,290,14,0,31,0,45,0,0,6,0,316,13,0,24,0
431440705130034,371,36,0,90,0,176,22,0,45,0,195,14,0,45,0,136,16,0,32,0,49,87,10,6,0,0,13,19,0,0,0,,37,60,37,0,,3,6,5,0,0,0,0,0,0,0,11,15,6,0,0,0,0,0,79,8,0,17,0,71,8,0,24,0,156,15,0,39,0,65,5,0,10,0,30,5,0,3,0,146,17,0,42,0,17,0,0,6,0,178,14,0,39,0
431440705130035,871,60,0,112,0,435,28,0,53,0,436,32,0,59,0,322,24,0,41,0,158,164,11,13,0,0,17,24,0,0,3,10,97,127,85,0,4,11,4,5,0,0,0,0,0,0,6,16,14,5,0,0,0,0,0,167,3,0,32,0,177,21,0,29,0,376,27,0,41,0,151,9,0,10,0,65,,0,10,0,370,27,0,43,0,51,,0,10,0,385,31,0,49,0
431440705130036,822,73,0,77,0,396,40,0,42,0,426,33,0,35,0,314,29,0,21,0,206,108,17,12,0,0,15,6,0,0,0,13,82,135,84,0,,11,10,6,0,0,0,0,0,0,,8,8,4,0,0,0,0,0,154,8,0,27,0,172,21,0,23,0,364,32,0,22,0,132,12,0,5,0,47,,0,8,0,349,38,0,34,0,51,,0,10,0,375,31,0,25,0
431440705130037,597,24,0,53,,301,10,0,21,,296,14,0,32,0,225,9,0,19,,136,89,,7,0,0,9,10,,0,0,7,48,90,80,0,,,5,,0,0,0,0,0,0,,,6,9,0,0,0,0,,106,3,0,14,0,120,9,0,11,0,245,11,0,18,0,126,,0,10,,34,,0,5,0,267,9,0,16,,29,0,0,5,0,267,14,0,27,0
431440705130038,432,12,0,42,0,216,8,0,18,0,216,4,0,24,0,156,3,0,18,0,76,80,,,0,0,10,8,0,0,0,5,28,61,62,0,0,,0,,0,0,0,0,0,0,0,5,7,6,0,0,0,0,0,64,3,0,8,0,77,3,0,8,0,173,3,0,17,0,118,3,0,9,0,35,,0,,0,181,7,0,17,0,17,,0,4,0,199,3,0,20,0
431440705130039,817,31,0,67,0,405,14,0,32,0,412,17,0,35,0,301,12,0,26,0,107,194,3,9,0,0,11,15,0,0,5,21,110,114,51,0,0,9,,,0,0,0,0,0,,,16,6,,0,0,0,0,0,168,5,0,18,0,178,6,0,14,0,369,19,0,30,0,102,,0,5,0,66,,0,7,0,339,12,0,25,0,51,,0,5,0,361,16,0,30,0
431440705130040,569,19,0,84,0,281,9,0,45,0,288,10,0,39,0,218,11,0,27,0,93,125,3,8,0,0,13,14,0,0,0,13,46,87,72,0,0,6,,3,0,0,0,0,0,0,3,7,11,6,0,0,0,0,0,90,0,0,19,0,102,4,0,27,0,239,10,0,23,0,138,5,0,15,0,26,0,0,11,0,255,9,0,34,0,27,0,0,6,0,261,10,0,33,0
431440705130043,613,56,0,144,0,305,27,0,81,0,308,29,0,63,0,216,21,0,51,0,86,130,7,14,0,0,18,33,0,0,5,17,53,96,45,,7,5,7,,0,0,0,0,0,4,8,11,17,11,0,0,0,0,0,128,11,0,32,0,147,21,0,44,0,259,21,0,50,0,79,3,0,18,0,46,3,0,16,0,259,24,0,65,0,44,3,0,6,0,264,26,0,57,0
431440705130044,790,23,0,79,0,394,14,0,35,0,396,9,0,44,0,299,9,0,28,0,190,109,7,,0,0,15,13,0,0,,25,70,122,80,0,,,5,,0,0,0,0,0,0,,8,12,7,0,0,0,0,0,144,3,0,17,0,179,6,0,15,0,335,12,0,38,0,132,,0,9,0,60,,0,6,0,334,12,0,29,0,44,0,0,6,0,352,9,0,38,0
431440705130045,873,50,0,114,0,419,27,0,62,0,454,23,0,52,0,279,18,0,40,0,195,84,12,6,0,0,28,12,0,0,,19,69,107,83,0,,4,12,,0,0,0,0,0,0,8,9,15,8,0,0,0,0,0,197,12,0,31,0,205,12,0,33,0,338,25,0,41,0,133,,0,9,0,75,6,0,11,0,344,21,0,51,0,73,,0,9,0,381,21,0,43,0
431440705130047,561,30,0,50,0,273,18,0,26,0,288,12,0,24,0,212,12,0,24,0,103,109,4,8,0,0,11,13,0,0,,7,76,67,61,0,,3,5,3,0,0,0,0,0,0,,9,6,7,0,0,0,0,0,95,5,0,11,0,112,4,0,11,0,251,16,0,17,0,103,5,0,11,0,34,3,0,3,0,239,15,0,23,0,31,0,0,,0,257,12,0,22,0
431440705130048,227,10,0,42,0,113,5,0,18,0,114,5,0,24,0,79,5,0,11,0,43,36,,3,0,0,,9,0,0,0,0,11,35,33,0,,,,,0,0,0,0,0,0,,3,4,,0,0,0,0,0,39,0,0,16,0,30,4,0,8,0,105,4,0,15,0,53,,0,3,0,16,0,0,4,0,97,5,0,14,0,10,0,0,8,0,104,5,0,16,0
431440705130049,276,223,0,232,0,142,100,0,117,0,134,123,0,115,0,94,79,0,60,0,32,62,18,61,0,0,21,39,0,0,,19,33,24,16,,15,31,25,7,0,0,0,0,0,,10,23,19,7,0,0,0,0,0,71,51,0,103,0,74,68,0,55,0,108,89,0,67,0,23,15,0,7,0,29,22,0,33,0,113,78,0,84,0,21,14,0,41,0,113,109,0,74,0
431440705130050,383,386,0,270,0,183,185,0,129,0,200,201,0,141,0,126,135,0,77,0,55,71,39,96,0,0,21,56,0,0,3,18,41,44,20,,34,46,42,12,0,0,0,0,0,,28,20,22,5,0,0,0,0,0,116,124,0,124,0,108,130,0,73,0,126,114,0,63,0,33,18,0,10,0,38,50,0,40,0,145,135,0,89,0,46,44,0,40,0,154,157,0,101,0
431440705130051,493,289,,312,0,249,145,0,157,0,244,144,,155,0,177,108,,90,0,74,103,33,75,0,,34,56,0,0,0,23,67,59,28,0,7,60,34,7,0,0,0,0,,0,13,41,28,8,0,0,0,0,0,145,67,0,115,0,151,96,0,86,0,164,114,0,95,0,33,12,,16,0,62,17,0,38,0,187,128,0,119,0,46,22,0,35,0,198,122,,120,0
431440705130052,342,122,0,120,6,168,53,0,57,3,174,69,0,63,3,113,40,0,38,,46,67,11,29,0,0,9,29,0,,,5,31,46,30,0,3,9,19,9,0,0,0,0,0,0,6,11,15,6,0,0,,0,,100,20,0,39,,77,35,0,32,,124,53,0,39,0,41,14,0,10,3,31,4,0,15,,137,49,0,42,,38,7,0,14,0,136,62,0,49,3
431440705130053,456,142,0,144,0,224,62,0,69,0,232,80,0,75,0,161,54,0,48,0,80,81,15,39,0,0,18,30,0,0,,12,47,53,47,0,6,14,22,12,0,0,0,0,0,0,6,17,17,8,0,0,0,0,0,109,22,0,36,0,114,41,0,42,0,163,63,0,52,0,70,16,0,14,0,39,3,0,9,0,185,59,0,60,0,35,11,0,11,0,197,69,0,64,0
431440705130054,514,138,0,249,0,236,55,0,136,0,278,83,0,113,0,193,54,0,81,0,65,128,14,40,0,0,30,51,0,0,,27,51,76,37,0,5,14,22,13,0,0,0,0,0,0,8,37,24,12,0,0,0,0,0,112,20,0,63,0,142,48,0,74,0,202,51,0,91,0,58,19,0,21,0,40,5,0,20,0,196,50,0,116,0,40,7,0,21,0,238,76,0,92,0
431440705130055,371,137,0,165,0,183,65,0,84,0,188,72,0,81,0,129,49,0,54,0,57,72,11,38,0,0,27,27,0,0,,13,25,57,32,,5,15,19,8,0,0,0,0,0,0,6,18,22,8,0,0,0,0,0,80,31,0,54,0,94,42,0,51,0,143,52,0,49,0,54,12,0,11,0,34,15,0,17,0,149,50,0,67,0,32,5,0,22,0,156,67,0,59,0
431440705130056,417,71,0,125,0,198,32,0,57,0,219,39,0,68,0,155,35,0,37,0,59,96,15,20,0,0,15,22,0,0,,12,38,60,44,,,12,10,9,0,0,0,0,0,,3,8,15,10,0,0,0,0,0,87,11,0,41,0,88,12,0,26,0,175,35,0,41,0,67,13,0,17,0,26,,0,11,0,172,31,0,46,0,26,5,0,13,0,193,34,0,55,0
431440705130057,264,173,0,145,0,135,78,0,70,0,129,95,0,75,0,94,60,0,44,0,56,38,37,23,0,0,28,16,0,0,0,0,22,40,32,0,,15,24,20,0,0,0,0,0,0,0,18,14,12,0,0,0,0,0,50,31,0,33,0,52,38,0,40,0,107,73,0,50,0,55,31,0,22,0,17,9,0,10,0,118,69,0,60,0,10,9,0,10,0,119,86,0,65,0
431440705130058,279,165,0,145,0,126,86,0,73,0,153,79,0,72,0,101,58,0,39,0,54,47,31,27,0,0,27,12,0,0,,4,17,48,31,,,12,34,9,0,0,0,0,0,0,4,4,19,12,0,0,0,0,0,50,41,0,37,0,60,39,0,37,0,120,68,0,52,0,49,17,0,19,0,17,12,0,7,0,109,74,0,66,0,13,11,0,10,0,140,68,0,62,0
431440705130059,358,153,,212,,170,72,,99,,188,81,0,113,0,139,61,0,73,0,58,81,27,34,0,0,30,43,0,0,,6,40,51,41,0,3,22,19,17,0,0,0,0,0,0,4,14,31,24,0,0,0,0,0,80,18,0,51,0,73,49,0,64,0,145,63,,69,,60,23,0,28,0,27,7,0,17,0,143,65,,82,,24,7,0,19,0,164,74,0,94,0
431440705130060,472,211,0,229,0,241,101,0,117,0,231,110,0,112,0,171,78,0,69,0,79,92,35,43,0,0,31,38,0,0,,3,39,63,64,,10,22,28,17,0,0,0,0,0,,4,18,26,19,0,0,0,0,0,81,37,0,58,0,94,67,0,62,0,196,79,0,77,0,101,28,0,32,0,40,7,0,16,0,201,94,0,101,0,20,15,0,17,0,211,95,0,95,0
431440705130061,294,109,0,118,0,147,47,0,48,0,147,62,0,70,0,149,55,0,48,0,66,83,15,40,0,0,14,34,0,0,0,11,36,48,54,,3,17,16,18,0,0,0,0,0,0,3,12,16,17,0,0,0,0,0,50,20,0,41,0,65,30,0,20,0,109,37,0,39,0,70,22,0,18,0,21,7,0,10,0,126,40,0,38,0,19,7,0,16,0,128,55,0,54,0
431440705130062,380,170,0,118,0,162,76,0,44,0,218,94,0,74,0,159,67,0,52,0,44,115,20,47,0,0,14,38,0,0,0,11,38,58,52,0,5,31,16,15,0,0,0,0,0,0,5,15,18,14,0,0,0,0,0,86,44,0,30,0,88,41,0,29,0,139,64,0,40,0,67,21,0,19,0,23,12,0,5,0,139,64,0,39,0,32,19,0,10,0,186,75,0,64,0
431440705130063,219,92,0,59,,93,47,0,25,,126,45,0,34,0,93,44,0,25,0,25,68,17,27,0,0,7,18,0,0,6,7,21,30,29,,6,11,18,7,0,0,0,0,0,3,3,6,9,4,0,0,0,0,0,45,9,0,15,0,58,28,0,17,0,75,42,0,22,,41,13,0,5,0,12,3,0,4,0,81,44,0,21,,17,,0,4,0,109,43,0,30,0
431440705130064,324,97,,134,,125,46,,64,,199,51,,70,0,146,39,,45,0,40,106,13,26,0,,13,32,0,0,,8,38,50,48,0,,15,19,3,0,,0,0,0,,5,12,10,17,0,0,0,0,0,80,20,,43,0,61,18,,26,0,120,51,0,45,,63,8,0,20,0,24,7,,15,0,101,39,0,49,,32,7,0,12,0,167,44,,58,0
431440705130065,449,88,,87,,190,44,,42,0,259,44,,45,,196,40,,30,,56,140,14,26,0,,14,16,0,,0,12,61,63,60,0,4,5,18,13,0,,0,0,0,0,,7,18,4,0,0,,0,0,94,16,,27,0,93,24,,19,,172,31,0,34,0,90,17,0,7,0,32,4,,11,0,158,40,0,31,0,34,5,0,5,0,225,39,,40,
431440705130067,486,129,0,105,6,232,52,0,53,,254,77,0,52,4,171,60,0,38,3,88,83,22,38,0,0,18,20,0,3,0,12,33,73,53,,5,18,26,10,0,0,0,0,0,0,,8,20,8,0,0,0,,,115,17,0,22,0,110,35,0,22,,179,61,0,50,4,82,16,0,11,,42,3,0,7,0,190,49,0,46,,34,6,0,8,0,220,71,0,44,4
431440705130069,497,40,0,48,0,220,19,0,22,0,277,21,0,26,0,202,15,0,15,0,68,134,8,7,0,0,8,7,0,0,0,9,44,59,90,0,,4,5,4,0,0,0,0,0,0,0,4,10,,0,0,0,0,0,74,6,0,10,0,70,9,0,9,0,203,18,0,24,0,150,7,0,5,0,16,3,0,,0,204,16,0,20,0,30,,0,,0,247,19,0,24,0
431440705130070,300,13,0,16,0,144,4,0,6,0,156,9,0,10,0,89,6,0,4,0,29,60,3,3,0,0,0,4,0,0,0,,16,37,34,0,0,0,3,3,0,0,0,0,0,0,0,,,,0,0,0,0,0,37,0,0,,0,35,3,0,5,0,91,5,0,9,0,137,5,0,,0,17,0,0,0,0,127,4,0,6,0,9,0,0,0,0,147,9,0,10,0
431440705130072,451,12,0,49,0,214,6,0,26,0,237,6,0,23,0,170,6,0,24,0,55,115,4,,0,0,14,10,0,0,0,3,25,74,68,0,0,,,,0,0,0,0,0,0,,4,12,7,0,0,0,0,0,53,0,0,8,0,83,,0,9,0,189,9,0,25,0,126,,0,7,0,19,0,0,,0,195,6,0,25,0,12,0,0,,0,225,6,0,21,0
431440705130074,601,63,0,77,0,276,32,0,46,0,325,31,0,31,0,229,28,0,31,0,107,122,13,15,0,0,15,16,0,0,0,3,25,99,102,0,,3,13,10,0,0,0,0,0,0,0,4,11,16,0,0,0,0,0,73,7,0,12,0,97,11,0,14,0,247,28,0,29,0,184,17,0,22,0,23,4,0,5,0,253,28,0,41,0,18,0,0,,0,307,31,0,29,0
431440705130076,553,77,0,64,,227,31,0,34,0,326,46,0,30,,233,29,0,21,0,108,125,12,17,0,0,12,9,0,0,0,5,30,88,110,,0,4,14,10,0,0,0,0,0,0,0,5,9,7,0,0,0,0,0,65,11,0,11,0,91,9,0,13,0,232,41,0,30,0,165,16,0,10,,20,,0,6,0,207,30,0,28,0,21,,0,,0,305,44,0,28,
431440705130077,472,52,0,58,0,215,25,0,28,0,257,27,0,30,0,178,17,0,24,0,80,98,7,10,0,0,13,11,0,0,0,3,13,64,98,0,0,,6,9,0,0,0,0,0,0,0,4,7,13,0,0,0,0,0,61,7,0,11,0,64,9,0,9,0,195,21,0,20,0,152,15,0,18,0,24,,0,,0,191,24,0,26,0,11,,0,5,0,246,26,0,25,0
431440705130078,490,51,0,75,0,222,24,0,37,0,268,27,0,38,0,196,25,0,26,0,77,119,10,15,0,0,10,16,0,0,0,3,28,73,92,0,0,3,13,9,0,0,0,0,0,0,,3,10,12,0,0,0,0,0,80,4,0,16,0,68,7,0,11,0,190,25,0,33,0,152,15,0,15,0,34,0,0,6,0,188,24,0,31,0,21,,0,5,0,247,26,0,33,0
431440705130079,236,140,0,64,,109,66,0,27,0,127,74,0,37,,108,51,0,21,,39,69,11,40,0,0,5,16,0,,0,10,15,46,37,0,,13,22,14,0,0,0,0,0,0,0,,8,11,0,0,0,,0,23,21,0,16,0,58,37,0,12,0,97,59,0,23,,58,23,0,13,0,4,8,0,3,0,105,58,0,24,0,9,5,0,7,0,118,69,0,30,
431440705130080,326,114,,90,0,143,60,,54,0,183,54,,36,0,125,49,0,35,0,55,70,22,27,0,0,22,13,0,0,0,3,23,54,45,0,,8,27,12,0,0,0,0,0,0,,4,14,16,0,0,0,0,0,52,14,,14,0,64,27,,18,0,136,51,0,33,0,74,22,0,25,0,15,7,,4,0,128,53,0,50,0,21,3,0,,0,162,51,,34,0
431440705130081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431440705130083,411,77,0,81,0,176,36,0,42,0,235,41,0,39,0,171,33,0,26,0,66,105,11,22,0,0,13,13,0,0,3,3,25,54,86,0,0,4,9,20,0,0,0,0,0,0,,3,13,9,0,0,0,0,0,43,9,0,16,0,74,10,0,21,0,153,30,0,29,0,141,28,0,15,0,14,3,0,4,0,162,33,0,38,0,16,5,0,6,0,219,36,0,33,0
